 "Daftar Anggota MPR RI Periode 2019-2024 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NO ","NAMA ","NOMOR ANGGOTA ","NO.KEPRES ","TEMPAT LAHIR ","TANGGAL LAHIR ","JENIS KELAMIN ","AGAMA ","PENDIDIKAN TERAKHIR ","FRAKSI ","PROVINSI ","JABATAN ","STATUS ANGGOTA ","CREATED ","UPDATED "
"39","Dra. Hj. LATHIFAH SHOHIB ","AA39-39 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JOMBANG ","1959-12-09 ","Perempuan ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:13:26 "
"40","ALI AHMAD, S.H ","A-40 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MALANG ","1967-12-01 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:13:54 "
"41","ANGGIA ERMA RINI, M.K.M. ","A-41 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SRAGEN ","1974-09-25 ","Perempuan ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-16 04:46:56 "
"42","H. AN'IM FALACHUDDIN ","A-42 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KEDIRI ","1964-06-06 ","Laki-Laki ","","SLTA ","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:14:43 "
"43","DRS. IBNU MULTAZAM ","A-43 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PONOROGO ","1965-10-09 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:15:03 "
"44","Drs. ABD MUHAIMIN ISKANDAR, M.Si. ","A-44 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JOMBANG ","1966-09-24 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:15:20 "
"45","H. MUHTAROM, S.Sos ","A-45 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MADIUN ","1956-03-10 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:15:42 "
"46","HJ RATNA JUWITA SARI, S.E., M.M. ","A-46 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TUBAN ","1984-03-29 ","Perempuan ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:16:08 "
"47","FARIDA HIDAYATI, SH., M.Kn ","A-47 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TUBAN ","1984-06-10 ","Perempuan ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:45:20 "
"48","Dr. H. JAZILUL FAWAID, SQ., M.A. ","A-48 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GRESIK ","1971-12-05 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-07 03:29:08 "
"49","H. SYAFIUDDIN, S.Sos. ","A-49 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANGKALAN ","1973-11-05 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:45:43 "
"50","MOH. RANO ALFATH, S.H., M.H. ","A-50 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANJUNG KARANG ","1984-11-28 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-13 03:43:01 "
"51","A. HELMY FAISHAL ZAINI, S.T. ","A-51 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIREBON ","1972-08-01 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","NUSA TENGGARA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:46:14 "
"52","N. M. DIPO NUSANTARA P. U, S.H. ","A-52 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURABAYA ","1965-05-23 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:46:43 "
