 "Daftar Anggota MPR RI Periode 2019-2024 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NO ","NAMA ","NOMOR ANGGOTA ","NO.KEPRES ","TEMPAT LAHIR ","TANGGAL LAHIR ","JENIS KELAMIN ","AGAMA ","PENDIDIKAN TERAKHIR ","FRAKSI ","PROVINSI ","JABATAN ","STATUS ANGGOTA ","CREATED ","UPDATED "
"540","Prof. Dr. H. SJARIFUDDIN HASAN, M.M, M.B.A. ","A-540 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PALOPO ","1946-06-17 ","Laki-Laki ","Islam ","Doktor ","Fraksi Partai Demokrat ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-04 04:07:07 "
"541","H. MOHAMAD MURAZ, S.H.,M.M. ","A-541 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUKABUMI ","1956-05-06 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"542","H. ANTON SUKARTONO SURATTO, M.Si. ","A-542 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1974-03-15 ","Laki-Laki ","Islam ","Pasca Sarjana ","Fraksi Partai Demokrat ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-14 10:31:25 "
"543","Hj. VERA FEBYANTHY, M.Si ","A-543 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1971-02-02 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"544","DR. Ir. E.HERMAN KHAERON, M.Si. ","A-544 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KUNINGAN ","1969-05-04 ","Laki-Laki ","","","Fraksi Partai Demokrat ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-06 08:50:56 "
"545","LINDA MEGAWATI, S.E, M.Si. ","A-545 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUBANG ","1979-03-13 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"546","H. DIDI IRAWADI SYAMSUDDIN, S.H., LL.M ","A-546 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1965-12-28 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"547","Hj. SITI MUFATTAHAH ","A-547 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANGKALAN ","1976-04-02 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"548","A.S.SUKAWIJAYA ALIAS YOYOK SUKAWI, SE ","A-548 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SEMARANG ","1978-03-01 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrat ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"549","HARMUSA OKTAVIANI, SE ","A-549 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","REMBANG ","1992-10-16 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrat ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"550","BRAMANTYO SUWONDO , M, M., IR ","A-550 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1993-04-27 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"551","LASMI INDARYANI, S.E. ","A-551 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANJARNEGARA ","1983-04-23 ","L ","HINDU ","SARJANA ","Fraksi Partai Demokrat ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"552","WASTAM ","A-552 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANYUMAS ","1977-02-12 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrat ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"553","Dra. LUCY KURNIASARI ","A-553 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURABAYA ","1968-02-04 ","P ","ISLAM ","SARJANA ","Fraksi Partai Demokrat ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"554","EDHIE BASKORO YUDHOYONO, M.Sc. ","A-554 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1980-11-24 ","Laki-Laki ","","","Fraksi Partai Demokrat ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-15 08:41:37 "
"555","SARTONO ","A-555 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PACITAN ","1963-08-12 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"556","Drs. H. GUNTUR SASONO, M.Si. ","A-556 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MADIUN ","1946-07-02 ","Laki-Laki ","","","Fraksi Partai Demokrat ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:42:35 "
"557","DIDIK MUKRIANTO, SH., M.H. ","A-557 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MAGETAN ","1974-06-21 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"558","DEBBY KURNIAWAN, S.Kom. ","A-558 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LAMONGAN ","1981-08-07 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrat ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"559","H. HASANI BIN ZUBER, S.IP. ","A-559 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANGKALAN ","1985-08-11 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrat ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"560","RIZKI AULIA RAHMAN NATAKUSUMAH ","A-560 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1994-11-19 ","P ","ISLAM ","SLTA ","Fraksi Partai Demokrat ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"561","Hj. NUR AENI, S. sos M. Si ","A-561 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SERANG ","1974-10-05 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"562","ZULFIKAR. H, S.H ","A-562 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1976-01-22 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrat ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"563","PUTU SUPADMA RUDANA ","A-563 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","DENPASAR ","1974-04-23 ","L ","HINDU ","PASCA SARJANA ","Fraksi Partai Demokrat ","BALI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"564","Ir. H. NANANG SAMODRA, KA, M.Sc. ","A-564 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","YOGYAKARTA ","1953-01-31 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","NUSA TENGGARA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"565","Dr. BENNY KABUR HARMAN, S.H. ","A-565 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","FLORES TIMUR ","1962-09-19 ","Laki-Laki ","","","Fraksi Partai Demokrat ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:43:17 "
"566","ANITA JACOBA GAH, S.E. ","A-566 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1974-03-09 ","P ","KRISTEN ","SARJANA ","Fraksi Partai Demokrat ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"567","BAMBANG PURWANTO, S.ST, M.H. ","A-567 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PACITAN ","1955-01-20 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","KALIMANTAN TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"568","H. IRWAN, S.IP., M.P. ","A-568 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SANGKULIRANG ","1979-04-30 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","KALIMANTAN TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"569","HASAN SALEH ","A-569 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PINRANG ","1957-08-17 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrat ","KALIMANTAN UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"570","ANWAR HAFID ","A-570 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","WOSU ","1969-08-14 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrat ","SULAWESI TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"571","Hj. ALIYAH MUSTIKA ILHAM, S.E. ","A-571 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MAKASSAR ","1969-03-30 ","Perempuan ","","","Fraksi Partai Demokrat ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-22 09:44:59 "
"572","MUHAMMAD DHEVY BIJAK ","A-572 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BATUSITANDUK ","1992-05-23 ","L ","ISLAM ","SLTA ","Fraksi Partai Demokrat ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"573","RUSDA MAHMUD ","A-573 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LASUSUA ","1962-11-21 ","L ","ISLAM ","SLTA ","Fraksi Partai Demokrat ","SULAWESI TENGGARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"574","Dr. H. SUHARDI DUKA, M.M. ","A-574 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MAMUJU ","1962-05-10 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Demokrat ","SULAWESI BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"575","WILLEM WANDIK ","A-575 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KONDA ","1975-08-17 ","L ","KRISTEN ","SARJANA ","Fraksi Partai Demokrat ","PAPUA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"576","SUDIRMAN, S.Pdi ","B-1 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PUNTUET ","1974-11-10 ","L ","ISLAM ","SARJANA ","Kelompok DPD di MPR RI ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-29 13:34:12 "
"577","H. M. FADHIL RAHMI, Lc. ","B-2 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LANGSA ","1978-09-06 ","L ","ISLAM ","SARJANA ","Kelompok DPD di MPR RI ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"578","H. FACHRUL RAZI, M.I.P. ","B-3 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","ACEH ","1980-06-06 ","L ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"579","Dr. Ir. H. ABDULLAH PUTEH, M.Si. ","B-4 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","IDI ","1948-07-04 ","L ","ISLAM ","DOKTOR ","Kelompok DPD di MPR RI ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"580","Pdt. WILLEM T.P. SIMARMATA, M.A ","B-5 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SAMOSIR ","1954-07-04 ","L ","KRISTEN ","PASCA SARJANA ","Kelompok DPD di MPR RI ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"581","H. DEDI ISKANDAR BATUBARA, S.Sos., S.H., M.SP ","B-6 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SILIGAWAN GADANG ","1979-03-17 ","L ","ISLAM ","DOKTOR ","Kelompok DPD di MPR RI ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"582","H. MUHAMMAD NUH, M.SP ","B-7 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MEDAN ","1966-02-28 ","L ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-09-12 15:09:13 "
"583","Dr. BADIKENITA BR SITEPU, S.E., M.Si ","B-8 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KABANJAHE ","1975-06-27 ","Perempuan ","","","Kelompok DPD di MPR RI ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-03 08:25:00 "
"584","Hj. EMMA YOHANNA ","B-9 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PASAMAN ","1955-01-22 ","P ","ISLAM ","SARJANA ","Kelompok DPD di MPR RI ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"585","H. MUSLIM M YATIM, Lc., M.M. ","B-10 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SEDANAU ","1961-02-01 ","L ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"586","Dr. H. ALIRMAN SORI, S.H., M.Hum, M.M. ","B-11 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GURUN PANJANG, PESISIR SELATAN ","1969-05-14 ","Laki-Laki ","","","Kelompok DPD di MPR RI ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-05 15:20:07 "
"587","H. LEONARDY HARMAINY Dt. BANDARO BASA, S.IP., M.H. ","B-12 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BUKIT TINGGI ","1956-09-07 ","L ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"588","Dr. INTSIAWATI AYUS, S.H, M.H. ","B-13 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BENGKALIS ","1968-05-04 ","Perempuan ","Islam ","","Kelompok DPD di MPR RI ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-09-17 02:27:17 "
"589","EDWIN PRATAMA PUTRA, S.H. ","B-14 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KABUPATEN KAMPAR ","1989-06-09 ","L ","ISLAM ","SARJANA ","Kelompok DPD di MPR RI ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-09-12 08:07:01 "
"590","Dr. MISHARTI, S.Ag, M.Si. ","B-15 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PEKANBARU ","1970-10-29 ","P ","ISLAM ","DOKTOR ","Kelompok DPD di MPR RI ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"591","H. MUHAMMAD GAZALI, Lc. ","B-16 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PEKANBARU ","1967-11-28 ","L ","ISLAM ","SARJANA ","Kelompok DPD di MPR RI ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"592","RIA MAYANG SARI, S.H., M.H. ","B-17 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MUARA BUNGO ","1986-03-29 ","P ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","JAMBI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"593","H. M. SYUKUR, S.H., M.H. ","B-18 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUNGAI MANAU ","1981-03-15 ","Laki-Laki ","Islam ","Pasca Sarjana ","Kelompok DPD di MPR RI ","JAMBI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-09-17 02:26:57 "
"594","Dra., Hj. ELVIANA, M.Si. ","B-19 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SAWAHLUNTO ","1966-11-30 ","P ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","JAMBI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"595","M. SUM INDRA, S.E., M.MSi ","B-20 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1972-09-06 ","L ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","JAMBI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"596","Hj. EVA SUSANTI ","B-21 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANAH ABANG ","1977-06-10 ","P ","ISLAM ","SLTA ","Kelompok DPD di MPR RI ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"597","AMALIAH, S.KG ","B-22 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAMBI ","1992-01-11 ","P ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"598","JIALYKA MAHARANI ","B-23 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PALEMBANG ","1997-09-20 ","P ","ISLAM ","DIPLOMA ","Kelompok DPD di MPR RI ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"599","ARNIZA NILAWATI, S.E., M.M ","B-24 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PALEMBANG ","1970-05-15 ","P ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"600","SULTAN BACTIAR, S.Sos., M.Si. ","B-25 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","ANGGUT/ BENGKULU SELATAN ","1979-05-11 ","L ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","BENGKULU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"601","H. AHMAD KANEDI, S.H., M.H. ","B-26 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TALO BENGKULU ","1961-12-24 ","Laki-Laki ","","","Kelompok DPD di MPR RI ","BENGKULU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-03 08:27:03 "
"602","Hj. RIRI DAMAYANTI JOHN LATIEF, S.Psi. ","B-27 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BENGKULU ","1990-02-04 ","P ","ISLAM ","SARJANA ","Kelompok DPD di MPR RI ","BENGKULU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"603","Dra. ENI KHAIRANI, M.Si. ","B-28 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BENGKULU ","1969-12-28 ","P ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","BENGKULU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"604","dr. JIHAN NURLELA ","B-29 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LAMPUNG TIMUR ","1994-04-22 ","P ","ISLAM ","SARJANA ","Kelompok DPD di MPR RI ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"605","KH. Ir. ABDUL HAKIM, M.M. ","B-30 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PANDEGLANG ","1963-09-04 ","Laki-Laki ","","","Kelompok DPD di MPR RI ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-09-12 07:55:21 "
"606","Drs. AHMAD BASTIAN SY ","B-31 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MAJA ","1965-07-20 ","Laki-Laki ","","","Kelompok DPD di MPR RI ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-06-01 09:44:52 "
"607","H. BUSTAMI ZAINUDIN, S.Pd., M.H. ","B-32 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LAMPUNG ","1969-10-08 ","L ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"608","Ir. H. DARMANSYAH HUSEIN ","B-33 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GANTUNG ","1954-07-17 ","L ","ISLAM ","SARJANA ","Kelompok DPD di MPR RI ","KEPULAUAN BANGKA BELITUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"609","Ust. H. ZUHRI M. SYAZALI, Lc., M.A. ","B-34 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANGKA BARAT ","1968-10-23 ","L ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","KEPULAUAN BANGKA BELITUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"610","ALEXANDER FRANSISCUS ","B-35 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MENTOK, KABUPATEN BANGKA BARAT ","1981-01-04 ","L ","KATOLIK ","SLTA ","Kelompok DPD di MPR RI ","KEPULAUAN BANGKA BELITUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"611","Drs. H. A. HUDARNI RANI, S.H. ","B-36 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANGKA ","1950-11-20 ","Laki-Laki ","","","Kelompok DPD di MPR RI ","KEPULAUAN BANGKA BELITUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-13 03:44:36 "
"612","IR. H. RIA SAPTARIKA, M.Eng. ","B-37 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","INDRAGIRI HILIR ","1967-09-16 ","L ","ISLAM ","PASCA SARJANA ","Kelompok DPD di MPR RI ","KEPULAUAN RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"613","H. DHARMA SETIAWAN ","B-38 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PEKANBARU ","1970-09-21 ","Laki-Laki ","","SLTA ","Kelompok DPD di MPR RI ","KEPULAUAN RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-03 15:26:34 "
"614","HARIPINTO TANUWIDJAJA ","B-39 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1964-10-06 ","Laki-Laki ","","SLTA ","Kelompok DPD di MPR RI ","KEPULAUAN RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-13 03:45:48 "
"615","Dr. RICHARD HAMONANGAN PASARIBU, B.Sc., M.Sc. ","B-40 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1959-07-14 ","L ","KRISTEN ","DOKTOR ","Kelompok DPD di MPR RI ","KEPULAUAN RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"616","Prof. Dr. H. JIMLY ASSHIDDIQIE, S.H. ","B-41 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PALEMBANG ","1956-04-17 ","L ","ISLAM ","DOKTOR ","Kelompok DPD di MPR RI ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"617","SABAM SIRAIT ","BB-42 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANJUNG BALAI ","1936-10-13 ","L ","KRISTEN ","SLTA ","Kelompok DPD di MPR RI ","DKI JAKARTA ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:53:58 "
"618","FAHIRA IDRIS, S.E., M.H. ","B-43 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1968-03-20 ","Perempuan ","","","Kelompok DPD di MPR RI ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-16 15:37:25 "
"619","Prof. Dr. Hj. SYLVIANA MURNI , S.H., M.Si. ","B-44 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1958-10-11 ","P ","ISLAM ","DOKTOR ","Kelompok DPD di MPR RI ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"620","AA ONI SUWARMAN ","B-45 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUBANG ","1978-03-05 ","L ","ISLAM ","DIPLOMA ","Kelompok DPD di MPR RI ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"621","K.H. AMANG SYAFRUDIN, Lc. ","B-46 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUKABUMI ","1964-06-04 ","L ","ISLAM ","SARJANA ","Kelompok DPD di MPR RI ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"622","H. ASEP HIDAYAT, S.Ag. ","B-47 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TASIKMALAYA ","1972-05-18 ","L ","ISLAM ","SARJANA ","Kelompok DPD di MPR RI ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
